0,1,2,3,4,5,6,7
104,False,СРО-С-105-08122009,"Ассоциация в области строительства ""Межрегиональная гильдия строителей""","г. Москва,ул. Дербеневская набережная, д.11, Бизнес-Центр Pollars, корпус А, 3 этаж, офис 325А",Москва,Москва,172
105,True,СРО-С-106-08122009,Ассоциация Саморегулируемая организация в области строительства «Аукцион»,"117105, г.  Москва, ул. Варшавское шоссе, д. 1, стр. 1-2, эт. 4, комната 42",Москва,Москва,173
106,True,СРО-С-107-11122009,Ассоциация саморегулируемая организация «Объединение строителей Владимирской области»,"600028, г. Владимир, ул. Балакирева, д. 51 б",Владимирская область,Центральный ФО,174
107,True,СРО-С-108-11122009,Ассоциация «Региональное отраслевое объединение работодателей - Саморегулируемая организация в области строительства «СпецСтройРеконструкция»,"693007, Сахалинская область, г. Южно-Сахалинск, ул. им. Ф.Э.Дзержинского, д. 36, оф. 201, 207, 210",Сахалинская область,Дальневосточный ФО,175
108,True,СРО-С-109-11122009,Ассоциация «Объединение строительных организаций Екатеринбурга и Свердловской области»,"620049, г.Екатеринбург, ул.Первомайская, дом 104, пом.302",Свердловская область,Уральский ФО,176
109,True,СРО-С-110-11122009,Ассоциация Саморегулируемая организация «Объединение смоленских строителей»,"214019 г. Смоленск, ул. Крупской, д. 55А",Смоленская область,Центральный ФО,177
110,True,СРО-С-111-14122009,Саморегулируемая организация Союз «Строители Ростовской области»,"344025, РФ, Ростовская область, г. Ростов-на-Дону, ул. Комсомольская, д. 4-6",Ростовская область,Южный ФО,178
111,True,СРО-С-112-14122009,Ассоциация «Межрегиональное объединение таврических строителей»,"295001, Республика Крым, г.Симферополь, ул.Ленина, дом 19. офис 5",Республика Крым,Южный ФО,179
112,True,СРО-С-113-15122009,Ассоциация Саморегулируемая организация «Объединенные строители»,"115114, г. Москва, набережная Дербеневская, д. 11, этаж/пом. 13/1ш",Москва,Москва,180
113,True,СРО-С-114-16122009,Ассоциация саморегулируемая организация «Ивановское Объединение Строителей»,"153000, Ивановская область , г. Иваново, ул. Крутицкая, д. 20А, 2 этаж",Ивановская область,Центральный ФО,181
